originalRelease,originalPrefix,originalVersionNumber,changeCode,issue,draft,release,newPrefix,newVersionNumber,newURI
3.0,ansi_d20,3.0,modified,,,3.1,ansi_d20,3.1,http://release.niem.gov/niem/codes/ansi_d20/3.1/
3.0,biom,3.0,modified,,,3.1,biom,3.1,http://release.niem.gov/niem/domains/biometrics/3.1/
3.0,cbrn,3.0,modified,,,3.1,cbrn,3.1,http://release.niem.gov/niem/domains/cbrn/3.1/
3.0,cyfs,3.0,modified,,,3.1,cyfs,3.1,http://release.niem.gov/niem/domains/cyfs/3.1/
3.0,em,3.0,modified,,,3.1,em,3.1,http://release.niem.gov/niem/domains/emergencyManagement/3.1/
3.0,im,3.0,modified,,,3.1,im,3.1,http://release.niem.gov/niem/domains/immigration/3.1/
3.0,intel,3.0,modified,,,3.1,intel,3.1,http://release.niem.gov/niem/domains/intelligence/3.1/
3.0,it,3.0,modified,,,3.1,it,3.1,http://release.niem.gov/niem/domains/internationalTrade/3.1/
3.0,j,5.0,modified,,,3.1,j,5.1,http://release.niem.gov/niem/domains/jxdm/5.1/
3.0,jc3iedm,3.0,modified,,,3.1,jc3iedm,3.1,http://release.niem.gov/niem/codes/jc3iedm/3.1/
3.0,jp3-52,3.0,modified,,,3.1,jp3-52,3.1,http://release.niem.gov/niem/codes/jp3-52/3.1/
3.0,m,3.0,modified,,,3.1,m,3.1,http://release.niem.gov/niem/domains/maritime/3.1/
3.0,mmucc,3.0,modified,,,3.1,mmucc,3.1,http://release.niem.gov/niem/codes/mmucc/3.1/
3.0,mo,3.0,modified,,,3.1,mo,3.1,http://release.niem.gov/niem/domains/militaryOperations/3.1/
3.0,ncic,3.0,modified,,,3.1,ncic,3.1,http://release.niem.gov/niem/codes/fbi_ncic/3.1/
3.0,ndex,3.0,modified,,,3.1,ndex,3.1,http://release.niem.gov/niem/codes/fbi_ndex/3.1/
3.0,scr,3.0,modified,,,3.1,scr,3.1,http://release.niem.gov/niem/domains/screening/3.1/
3.0,,,new,,,3.1,census-3.0.1,3.0.1,http://publication.niem.gov/niem/codes/census_uscounty/3.0/1/
3.0,,,new,,,3.1,dea-3.0.1,3.0.1,http://publication.niem.gov/niem/codes/dea_ctlsub/3.0/1/
3.0,,,new,,,3.1,dod_jcs-pub2.0-3.0.1,3.0.1,http://publication.niem.gov/niem/codes/dod_jcs-pub2.0/3.0/1/
3.0,,,new,,,3.1,hazmat-3.0.1,3.0.1,http://publication.niem.gov/niem/codes/dot_hazmat/3.0/1/
3.0,,,new,,,3.1,hs,3.1,http://release.niem.gov/niem/domains/humanServices/3.1/
3.0,,,new,,,3.1,nc-3.0.2,3.0.2,http://publication.niem.gov/niem/niem-core/3.0/2/
3.0,cyfs-3.0.1,3.0.1,deleted,,,3.1,,,
3.0,apco,3.0,no change,,,3.1,,,
3.0,appinfo,3.0,no change,,,3.1,,,
3.0,atf,3.0,no change,,,3.1,,,
3.0,can,3.0,no change,,,3.1,,,
3.0,cap,1.0,no change,,,3.1,,,
3.0,cbrncl,3.0,no change,,,3.1,,,
3.0,census,3.0,no change,,,3.1,,,
3.0,commodity,3.0,no change,,,3.1,,,
3.0,core_misc,3.0,no change,,,3.1,,,
3.0,de,1.0,no change,,,3.1,,,
3.0,dea,3.0,no change,,,3.1,,,
3.0,dod_jcs-pub2.0,3.0,no change,,,3.1,,,
3.0,dol,3.0,no change,,,3.1,,,
3.0,edxl_rm,3.0,no change,,,3.1,,,
3.0,edxl-cap,3.0,no change,,,3.1,,,
3.0,edxl-de,3.0,no change,,,3.1,,,
3.0,edxl-have,3.0,no change,,,3.1,,,
3.0,fips_10-4,3.0,no change,,,3.1,,,
3.0,fips_5-2,3.0,no change,,,3.1,,,
3.0,fips_6-4,3.0,no change,,,3.1,,,
3.0,genc,3.0,no change,,,3.1,,,
3.0,geo,3.0,no change,,,3.1,,,
3.0,gml,2.1,no change,,,3.1,,,
3.0,have,2.1,no change,,,3.1,,,
3.0,have-codes,3.0,no change,,,3.1,,,
3.0,hazmat,3.0,no change,,,3.1,,,
3.0,hl7,3.0,no change,,,3.1,,,
3.0,ip,3.0,no change,,,3.1,,,
3.0,iso_3166,3.0,no change,,,3.1,,,
3.0,iso_4217,3.0,no change,,,3.1,,,
3.0,iso_639-3,3.0,no change,,,3.1,,,
3.0,itcodes,3.0,no change,,,3.1,,,
3.0,nc,3.0,no change,,,3.1,,,
3.0,nc-3.0.1,3.0.1,no change,,,3.1,,,
3.0,nga,3.0,no change,,,3.1,,,
3.0,niem-xs,3.0,no change,,,3.1,,,
3.0,nlets,3.0,no change,,,3.1,,,
3.0,occs,3.0,no change,,,3.1,,,
3.0,sar,3.0,no change,,,3.1,,,
3.0,structures,3.0,no change,,,3.1,,,
3.0,ucr,3.0,no change,,,3.1,,,
3.0,unece,3.0,no change,,,3.1,,,
3.0,usps,3.0,no change,,,3.1,,,
3.0,usps-3.0.1,3.0.1,no change,,,3.1,,,
3.0,xCard,3.0,no change,,,3.1,,,
3.0,xhtml,1.0,no change,,,3.1,,,
3.0,xlink,2.1,no change,,,3.1,,,
3.0,xls,2.1,no change,,,3.1,,,
3.0,xml,3.0,no change,,,3.1,,,
3.0,xs,1.0,no change,,,3.1,,,
