Release,UnionTypeNamespacePrefix,UnionTypeName,UnionQualifiedType,MemberTypeNamespacePrefix,MemberTypeName,MemberQualifiedType
5.2,biom,ExemplarFingerPositionCodeSimpleType,biom:ExemplarFingerPositionCodeSimpleType,biom,HypothenarPositionCodeSimpleType,biom:HypothenarPositionCodeSimpleType
5.2,biom,ExemplarFingerPositionCodeSimpleType,biom:ExemplarFingerPositionCodeSimpleType,biom,MobileFingerPositionCodeSimpleType,biom:MobileFingerPositionCodeSimpleType
5.2,biom,ExemplarFingerPositionCodeSimpleType,biom:ExemplarFingerPositionCodeSimpleType,biom,SlapFingerPositionCodeSimpleType,biom:SlapFingerPositionCodeSimpleType
5.2,biom,ExemplarFingerPositionCodeSimpleType,biom:ExemplarFingerPositionCodeSimpleType,biom,SupplementalFingerPositionCodeSimpleType,biom:SupplementalFingerPositionCodeSimpleType
5.2,biom,ExemplarFingerPositionCodeSimpleType,biom:ExemplarFingerPositionCodeSimpleType,biom,UnknownPositionCodeSimpleType,biom:UnknownPositionCodeSimpleType
5.2,biom,ExemplarFingerPositionCodeSimpleType,biom:ExemplarFingerPositionCodeSimpleType,biom,FingerPositionCodeSimpleType,biom:FingerPositionCodeSimpleType
5.2,biom,FrictionRidgePositionCodeSimpleType,biom:FrictionRidgePositionCodeSimpleType,biom,PalmPositionCodeSimpleType,biom:PalmPositionCodeSimpleType
5.2,biom,FrictionRidgePositionCodeSimpleType,biom:FrictionRidgePositionCodeSimpleType,biom,PlantarPositionCodeSimpleType,biom:PlantarPositionCodeSimpleType
5.2,biom,FrictionRidgePositionCodeSimpleType,biom:FrictionRidgePositionCodeSimpleType,biom,FingerPositionCodeSimpleType,biom:FingerPositionCodeSimpleType
5.2,biom,FrictionRidgePositionCodeSimpleType,biom:FrictionRidgePositionCodeSimpleType,biom,UnknownPositionCodeSimpleType,biom:UnknownPositionCodeSimpleType
5.2,biom,LatentFrictionRidgePositionCodeSimpleType,biom:LatentFrictionRidgePositionCodeSimpleType,biom,FingerPositionCodeSimpleType,biom:FingerPositionCodeSimpleType
5.2,biom,LatentFrictionRidgePositionCodeSimpleType,biom:LatentFrictionRidgePositionCodeSimpleType,biom,PalmPositionCodeSimpleType,biom:PalmPositionCodeSimpleType
5.2,biom,LatentFrictionRidgePositionCodeSimpleType,biom:LatentFrictionRidgePositionCodeSimpleType,biom,PlantarPositionCodeSimpleType,biom:PlantarPositionCodeSimpleType
5.2,biom,LatentFrictionRidgePositionCodeSimpleType,biom:LatentFrictionRidgePositionCodeSimpleType,biom,SupplementalFingerPositionCodeSimpleType,biom:SupplementalFingerPositionCodeSimpleType
