originalRelease,originalPrefix,originalVersionNumber,changeCode,issue,draft,release,newPrefix,newVersionNumber,newURI
5.0,ag,5.0,edit,,,5.1,ag,5.1,http://release.niem.gov/niem/domains/agriculture/5.1/
5.0,biom,5.0,edit,,,5.1,biom,5.1,http://release.niem.gov/niem/domains/biometrics/5.1/
5.0,cbrn,5.0,edit,,,5.1,cbrn,5.1,http://release.niem.gov/niem/domains/cbrn/5.1/
5.0,cui,5.0,edit,,,5.1,cui,5.1,http://release.niem.gov/niem/auxiliary/cui/5.1/
5.0,em,5.0,edit,,,5.1,em,5.1,http://release.niem.gov/niem/domains/emergencyManagement/5.1/
5.0,geo,5.0,edit,,,5.1,geo,5.1,http://release.niem.gov/niem/adapters/geospatial/5.1/
5.0,hs,5.0,edit,,,5.1,hs,5.1,http://release.niem.gov/niem/domains/humanServices/5.1/
5.0,im,5.0,edit,,,5.1,im,5.1,http://release.niem.gov/niem/domains/immigration/5.1/
5.0,intel,5.0,edit,,,5.1,intel,5.1,http://release.niem.gov/niem/domains/intelligence/5.1/
5.0,iso_639-3,5.0,edit,,,5.1,iso_639-3,5.1,http://release.niem.gov/niem/codes/iso_639-3/5.1/
5.0,it,5.0,edit,,,5.1,it,5.1,http://release.niem.gov/niem/domains/internationalTrade/5.1/
5.0,j,7.0,edit,,,5.1,j,7.1,http://release.niem.gov/niem/domains/jxdm/7.1/
5.0,m,5.0,edit,,,5.1,m,5.1,http://release.niem.gov/niem/domains/maritime/5.1/
5.0,mo,5.0,edit,,,5.1,mo,5.1,http://release.niem.gov/niem/domains/militaryOperations/5.1/
5.0,ncic,5.0,edit,,,5.1,ncic,5.1,http://release.niem.gov/niem/codes/ncic/5.1/
5.0,scr,5.0,edit,,,5.1,scr,5.1,http://release.niem.gov/niem/domains/screening/5.1/
5.0,ucr,5.0,edit,,,5.1,ucr,5.1,http://release.niem.gov/niem/codes/ucr/5.1/
5.0,,,add,,,5.1,cyber,5.1,http://release.niem.gov/niem/domains/cyber/5.1/
5.0,,,add,,,5.1,fema,5.1,http://release.niem.gov/niem/codes/fema/5.1/
5.0,,,add,,,5.1,stix,5.1,http://release.niem.gov/niem/codes/stix/5.1/
5.0,aamva_d20,5.0,no change,,,5.1,,,
5.0,ag_codes,5.0,no change,,,5.1,,,
5.0,apco,5.0,no change,,,5.1,,,
5.0,appinfo,5.0,no change,,,5.1,,,
5.0,atf,5.0,no change,,,5.1,,,
5.0,bls,5.0,no change,,,5.1,,,
5.0,can,5.0,no change,,,5.1,,,
5.0,cap,1.1,no change,,,5.1,,,
5.0,cbrncl,5.0,no change,,,5.1,,,
5.0,cli,5.0,no change,,,5.1,,,
5.0,clsa,5.0,no change,,,5.1,,,
5.0,commodity,5.0,no change,,,5.1,,,
5.0,de,1.0,no change,,,5.1,,,
5.0,dea,5.0,no change,,,5.1,,,
5.0,edxl_rm,5.0,no change,,,5.1,,,
5.0,edxl-cap,5.0,no change,,,5.1,,,
5.0,edxl-de,5.0,no change,,,5.1,,,
5.0,edxl-have,5.0,no change,,,5.1,,,
5.0,fips,5.0,no change,,,5.1,,,
5.0,genc,5.0,no change,,,5.1,,,
5.0,gml,3.2.1,no change,,,5.1,,,
5.0,have,1.0,no change,,,5.1,,,
5.0,have-codes,5.0,no change,,,5.1,,,
5.0,hazmat,5.0,no change,,,5.1,,,
5.0,hl7,5.0,no change,,,5.1,,,
5.0,ip,5.0,no change,,,5.1,,,
5.0,iso_3166,5.0,no change,,,5.1,,,
5.0,iso_4217,5.0,no change,,,5.1,,,
5.0,itcodes,5.0,no change,,,5.1,,,
5.0,jc3iedm,5.0,no change,,,5.1,,,
5.0,jp2-0,5.0,no change,,,5.1,,,
5.0,jp3-52,5.0,no change,,,5.1,,,
5.0,mmucc,5.0,no change,,,5.1,,,
5.0,nc,5.0,no change,,,5.1,,,
5.0,nces,5.0,no change,,,5.1,,,
5.0,ndex,5.0,no change,,,5.1,,,
5.0,nga,5.0,no change,,,5.1,,,
5.0,niem-xs,5.0,no change,,,5.1,,,
5.0,nlets,5.0,no change,,,5.1,,,
5.0,occs,5.0,no change,,,5.1,,,
5.0,opm,5.0,no change,,,5.1,,,
5.0,sar,5.0,no change,,,5.1,,,
5.0,st,5.0,no change,,,5.1,,,
5.0,stat,5.0,no change,,,5.1,,,
5.0,structures,5.0,no change,,,5.1,,,
5.0,unece,5.0,no change,,,5.1,,,
5.0,usda_fsa,5.0,no change,,,5.1,,,
5.0,usps,5.0,no change,,,5.1,,,
5.0,xCard,5.0,no change,,,5.1,,,
5.0,xhtml,1.0,no change,,,5.1,,,
5.0,xlink,1.0.0,no change,,,5.1,,,
5.0,xls,1.1.0,no change,,,5.1,,,
5.0,xml,1.0,no change,,,5.1,,,
5.0,xs,1.0,no change,,,5.1,,,
