originalRelease,originalPrefix,originalVersionNumber,changeCode,issue,draft,release,newPrefix,newVersionNumber,newURI
3.1,ansi_d20,3.1,modified,,,3.2,aamva_d20,3.2,http://release.niem.gov/niem/codes/aamva_d20/3.2/
3.1,biom,3.1,modified,,,3.2,biom,3.2,http://release.niem.gov/niem/domains/biometrics/3.2/
3.1,cbrn,3.1,modified,,,3.2,cbrn,3.2,http://release.niem.gov/niem/domains/cbrn/3.2/
3.1,cyfs,3.1,modified,,,3.2,cyfs,3.2,http://release.niem.gov/niem/domains/cyfs/3.2/
3.1,em,3.1,modified,,,3.2,em,3.2,http://release.niem.gov/niem/domains/emergencyManagement/3.2/
3.1,hs,3.1,modified,,,3.2,hs,3.2,http://release.niem.gov/niem/domains/humanServices/3.2/
3.1,im,3.1,modified,,,3.2,im,3.2,http://release.niem.gov/niem/domains/immigration/3.2/
3.1,intel,3.1,modified,,,3.2,intel,3.2,http://release.niem.gov/niem/domains/intelligence/3.2/
3.1,it,3.1,modified,,,3.2,it,3.2,http://release.niem.gov/niem/domains/internationalTrade/3.2/
3.1,j,5.1,modified,,,3.2,j,5.2,http://release.niem.gov/niem/domains/jxdm/5.2/
3.1,m,3.1,modified,,,3.2,m,3.2,http://release.niem.gov/niem/domains/maritime/3.2/
3.1,mmucc,3.1,modified,,,3.2,mmucc,3.2,http://release.niem.gov/niem/codes/mmucc/3.2/
3.1,mo,3.1,modified,,,3.2,mo,3.2,http://release.niem.gov/niem/domains/militaryOperations/3.2/
3.1,ncic,3.1,modified,,,3.2,ncic,3.2,http://release.niem.gov/niem/codes/fbi_ncic/3.2/
3.1,scr,3.1,modified,,,3.2,scr,3.2,http://release.niem.gov/niem/domains/screening/3.2/
3.1,ucr,3.0,modified,,,3.2,ucr,3.2,http://release.niem.gov/niem/codes/fbi_ucr/3.2/
3.1,,,new,,,3.2,dea-3.0.2,3.0.2,http://publication.niem.gov/niem/codes/dea_ctlsub/3.0/2/
3.1,,,new,,,3.2,genc-3.0.1,3.0.1,http://publication.niem.gov/niem/codes/nga_genc/3.0/1/
3.1,,,new,,,3.2,nc-3.0.3,3.0.3,http://publication.niem.gov/niem/niem-core/3.0/3/
3.1,,,new,,,3.2,st,3.2,http://release.niem.gov/niem/domains/surfaceTransportation/3.2/
3.1,apco,3.0,no change,,,3.2,,,
3.1,appinfo,3.0,no change,,,3.2,,,
3.1,atf,3.0,no change,,,3.2,,,
3.1,can,3.0,no change,,,3.2,,,
3.1,cap,1.0,no change,,,3.2,,,
3.1,cbrncl,3.0,no change,,,3.2,,,
3.1,census,3.0,no change,,,3.2,,,
3.1,census-3.0.1,3.0.1,no change,,,3.2,,,
3.1,commodity,3.0,no change,,,3.2,,,
3.1,core_misc,3.0,no change,,,3.2,,,
3.1,de,1.0,no change,,,3.2,,,
3.1,dea,3.0,no change,,,3.2,,,
3.1,dea-3.0.1,3.0.1,no change,,,3.2,,,
3.1,dod_jcs-pub2.0,3.0,no change,,,3.2,,,
3.1,dod_jcs-pub2.0-3.0.1,3.0.1,no change,,,3.2,,,
3.1,dol,3.0,no change,,,3.2,,,
3.1,edxl_rm,3.0,no change,,,3.2,,,
3.1,edxl-cap,3.0,no change,,,3.2,,,
3.1,edxl-de,3.0,no change,,,3.2,,,
3.1,edxl-have,3.0,no change,,,3.2,,,
3.1,fips_10-4,3.0,no change,,,3.2,,,
3.1,fips_5-2,3.0,no change,,,3.2,,,
3.1,fips_6-4,3.0,no change,,,3.2,,,
3.1,genc,3.0,no change,,,3.2,,,
3.1,geo,3.0,no change,,,3.2,,,
3.1,gml,2.1,no change,,,3.2,,,
3.1,have,2.1,no change,,,3.2,,,
3.1,have-codes,3.0,no change,,,3.2,,,
3.1,hazmat,3.0,no change,,,3.2,,,
3.1,hazmat-3.0.1,3.0.1,no change,,,3.2,,,
3.1,hl7,3.0,no change,,,3.2,,,
3.1,ip,3.0,no change,,,3.2,,,
3.1,iso_3166,3.0,no change,,,3.2,,,
3.1,iso_4217,3.0,no change,,,3.2,,,
3.1,iso_639-3,3.0,no change,,,3.2,,,
3.1,itcodes,3.0,no change,,,3.2,,,
3.1,jc3iedm,3.1,no change,,,3.2,,,
3.1,jp3-52,3.1,no change,,,3.2,,,
3.1,nc,3.0,no change,,,3.2,,,
3.1,nc-3.0.1,3.0.1,no change,,,3.2,,,
3.1,nc-3.0.2,3.0.2,no change,,,3.2,,,
3.1,ndex,3.1,no change,,,3.2,,,
3.1,nga,3.0,no change,,,3.2,,,
3.1,niem-xs,3.0,no change,,,3.2,,,
3.1,nlets,3.0,no change,,,3.2,,,
3.1,occs,3.0,no change,,,3.2,,,
3.1,sar,3.0,no change,,,3.2,,,
3.1,structures,3.0,no change,,,3.2,,,
3.1,unece,3.0,no change,,,3.2,,,
3.1,usps,3.0,no change,,,3.2,,,
3.1,usps-3.0.1,3.0.1,no change,,,3.2,,,
3.1,xCard,3.0,no change,,,3.2,,,
3.1,xhtml,1.0,no change,,,3.2,,,
3.1,xlink,2.1,no change,,,3.2,,,
3.1,xls,2.1,no change,,,3.2,,,
3.1,xml,3.0,no change,,,3.2,,,
3.1,xs,1.0,no change,,,3.2,,,
