originalRelease,originalPrefix,originalVersionNumber,changeCode,issue,draft,release,newPrefix,newVersionNumber,newURI
4.2,aamva_d20,4.0,edit,,,5.0,aamva_d20,5.0,http://release.niem.gov/niem/codes/aamva_d20/5.0/
4.2,ag,4.0,edit,,,5.0,ag,5.0,http://release.niem.gov/niem/domains/agriculture/5.0/
4.2,ag_codes,4.0,edit,,,5.0,ag_codes,5.0,http://release.niem.gov/niem/codes/ag_codes/5.0/
4.2,apco,4.0,edit,,,5.0,apco,5.0,http://release.niem.gov/niem/codes/apco/5.0/
4.2,appinfo,4.0,edit,,,5.0,appinfo,5.0,http://release.niem.gov/niem/appinfo/5.0/
4.2,atf,4.0,edit,,,5.0,atf,5.0,http://release.niem.gov/niem/codes/atf/5.0/
4.2,biom,4.2,edit,,,5.0,biom,5.0,http://release.niem.gov/niem/domains/biometrics/5.0/
4.2,can,4.0,edit,,,5.0,can,5.0,http://release.niem.gov/niem/codes/canada_post/5.0/
4.2,cbrn,4.2,edit,,,5.0,cbrn,5.0,http://release.niem.gov/niem/domains/cbrn/5.0/
4.2,cbrncl,4.0,edit,,,5.0,cbrncl,5.0,http://release.niem.gov/niem/codes/cbrncl/5.0/
4.2,cli,4.0,edit,,,5.0,cli,5.0,http://reference.niem.gov/niem/specification/code-lists/5.0/code-lists-instance/
4.2,commodity,4.0,edit,,,5.0,commodity,5.0,http://release.niem.gov/niem/codes/commodity/5.0/
4.2,dea,4.0,edit,,,5.0,dea,5.0,http://release.niem.gov/niem/codes/dea_ctlsub/5.0/
4.2,dod_jcs-pub2.0,4.0,edit,,,5.0,jp2-0,5.0,http://release.niem.gov/niem/codes/jp2-0/5.0/
4.2,edxl_rm,4.0,edit,,,5.0,edxl_rm,5.0,http://release.niem.gov/niem/codes/edxl_rm/5.0/
4.2,edxl-cap,4.0,edit,,,5.0,edxl-cap,5.0,http://release.niem.gov/niem/adapters/edxl-cap/5.0/
4.2,edxl-de,4.0,edit,,,5.0,edxl-de,5.0,http://release.niem.gov/niem/adapters/edxl-de/5.0/
4.2,edxl-have,4.0,edit,,,5.0,edxl-have,5.0,http://release.niem.gov/niem/adapters/edxl-have/5.0/
4.2,em,4.2,edit,,,5.0,em,5.0,http://release.niem.gov/niem/domains/emergencyManagement/5.0/
4.2,fips_5-2,4.0,edit,,,5.0,fips,5.0,http://release.niem.gov/niem/codes/fips/5.0/
4.2,genc,4.2,edit,,,5.0,genc,5.0,http://release.niem.gov/niem/codes/genc/5.0/
4.2,geo,4.0,edit,,,5.0,geo,5.0,http://release.niem.gov/niem/adapters/geospatial/5.0/
4.2,have-codes,4.0,edit,,,5.0,have-codes,5.0,http://release.niem.gov/niem/codes/edxl_have/5.0/
4.2,hazmat,4.0,edit,,,5.0,hazmat,5.0,http://release.niem.gov/niem/codes/hazmat/5.0/
4.2,hl7,4.0,edit,,,5.0,hl7,5.0,http://release.niem.gov/niem/codes/hl7/5.0/
4.2,hs,4.2,edit,,,5.0,hs,5.0,http://release.niem.gov/niem/domains/humanServices/5.0/
4.2,im,4.2,edit,,,5.0,im,5.0,http://release.niem.gov/niem/domains/immigration/5.0/
4.2,intel,4.2,edit,,,5.0,intel,5.0,http://release.niem.gov/niem/domains/intelligence/5.0/
4.2,ip,4.0,edit,,,5.0,ip,5.0,http://release.niem.gov/niem/domains/infrastructureProtection/5.0/
4.2,iso_3166,4.0,edit,,,5.0,iso_3166,5.0,http://release.niem.gov/niem/codes/iso_3166-1/5.0/
4.2,iso_4217,4.0,edit,,,5.0,iso_4217,5.0,http://release.niem.gov/niem/codes/iso_4217/5.0/
4.2,iso_639-3,4.0,edit,,,5.0,iso_639-3,5.0,http://release.niem.gov/niem/codes/iso_639-3/5.0/
4.2,it,4.2,edit,,,5.0,it,5.0,http://release.niem.gov/niem/domains/internationalTrade/5.0/
4.2,itcodes,4.0,edit,,,5.0,itcodes,5.0,http://release.niem.gov/niem/codes/it_codes/5.0/
4.2,j,6.2,edit,,,5.0,j,7.0,http://release.niem.gov/niem/domains/jxdm/7.0/
4.2,jc3iedm,4.0,edit,,,5.0,jc3iedm,5.0,http://release.niem.gov/niem/codes/jc3iedm/5.0/
4.2,jp3-52,4.0,edit,,,5.0,jp3-52,5.0,http://release.niem.gov/niem/codes/jp3-52/5.0/
4.2,m,4.2,edit,,,5.0,m,5.0,http://release.niem.gov/niem/domains/maritime/5.0/
4.2,mmucc,4.1,edit,,,5.0,mmucc,5.0,http://release.niem.gov/niem/codes/mmucc/5.0/
4.2,mo,4.2,edit,,,5.0,mo,5.0,http://release.niem.gov/niem/domains/militaryOperations/5.0/
4.2,nc,4.0,edit,,,5.0,nc,5.0,http://release.niem.gov/niem/niem-core/5.0/
4.2,ncic,4.2,edit,,,5.0,ncic,5.0,http://release.niem.gov/niem/codes/ncic/5.0/
4.2,ndex,4.2,edit,,,5.0,ndex,5.0,http://release.niem.gov/niem/codes/ndex/5.0/
4.2,nga,4.0,edit,,,5.0,nga,5.0,http://release.niem.gov/niem/codes/nga/5.0/
4.2,niem-xs,4.0,edit,,,5.0,niem-xs,5.0,http://release.niem.gov/niem/proxy/niem-xs/5.0/
4.2,nlets,4.0,edit,,,5.0,nlets,5.0,http://release.niem.gov/niem/codes/nlets/5.0/
4.2,occs,4.0,edit,,,5.0,occs,5.0,http://release.niem.gov/niem/codes/occs/5.0/
4.2,sar,4.0,edit,,,5.0,sar,5.0,http://release.niem.gov/niem/codes/pmise_sar/5.0/
4.2,scr,4.2,edit,,,5.0,scr,5.0,http://release.niem.gov/niem/domains/screening/5.0/
4.2,st,4.1,edit,,,5.0,st,5.0,http://release.niem.gov/niem/domains/surfaceTransportation/5.0/
4.2,structures,4.0,edit,,,5.0,structures,5.0,http://release.niem.gov/niem/structures/5.0/
4.2,ucr,4.2,edit,,,5.0,ucr,5.0,http://release.niem.gov/niem/codes/ucr/5.0/
4.2,unece,4.0,edit,,,5.0,unece,5.0,http://release.niem.gov/niem/codes/unece_rec20/5.0/
4.2,usda_fsa,4.0,edit,,,5.0,usda_fsa,5.0,http://release.niem.gov/niem/codes/usda_fsa/5.0/
4.2,usps,4.0,edit,,,5.0,usps,5.0,http://release.niem.gov/niem/codes/usps/5.0/
4.2,xCard,4.0,edit,,,5.0,xCard,5.0,http://release.niem.gov/niem/codes/xCard/5.0/
4.2,xhtml,1.0,edit,,,5.0,xhtml,1.0,http://www.w3.org/1999/xhtml
4.2,xml,1.0,edit,,,5.0,xml,1.0,
4.2,xs,1.0,edit,,,5.0,xs,1.0,http://www.w3.org/2001/XMLSchema
4.2,,,add,,,5.0,bls,5.0,http://release.niem.gov/niem/codes/bls/5.0/
4.2,,,add,,,5.0,clsa,5.0,http://reference.niem.gov/niem/specification/code-lists/5.0/code-lists-schema-appinfo/
4.2,,,add,,,5.0,cui,5.0,http://release.niem.gov/niem/auxiliary/cui/5.0/
4.2,,,add,,,5.0,nces,5.0,http://release.niem.gov/niem/codes/nces/5.0/
4.2,,,add,,,5.0,opm,5.0,http://release.niem.gov/niem/codes/opm/5.0/
4.2,,,add,,,5.0,stat,5.0,http://release.niem.gov/niem/auxiliary/statistics/5.0/
4.2,census,4.0,delete,,,5.0,,,
4.2,commodity-4.0.2,4.0.2,delete,,,5.0,,,
4.2,dea-4.0.2,4.0.2,delete,,,5.0,,,
4.2,dol,4.0,delete,,,5.0,,,
4.2,dol-4.0.2,4.0.2,delete,,,5.0,,,
4.2,fips-4.0.2,4.0.2,delete,,,5.0,,,
4.2,hazmat-4.0.2,4.0.2,delete,,,5.0,,,
4.2,hl7-4.0.2,4.0.2,delete,,,5.0,,,
4.2,iso_4217-4.0.2,4.0.2,delete,,,5.0,,,
4.2,iso_639-3-4.0.2,4.0.2,delete,,,5.0,,,
4.2,nc-4.0.1,4.0.1,delete,,,5.0,,,
4.2,nc-4.0.2,4.0.2,delete,,,5.0,,,
4.2,occs-4.0.2,4.0.2,delete,,,5.0,,,
4.2,cap,1.1,no change,,,5.0,,,
4.2,de,1.0,no change,,,5.0,,,
4.2,gml,3.2.1,no change,,,5.0,,,
4.2,have,1.0,no change,,,5.0,,,
4.2,xlink,1.0.0,no change,,,5.0,,,
4.2,xls,1.1.0,no change,,,5.0,,,
