Release,UnionTypeNamespacePrefix,UnionTypeName,UnionQualifiedType,MemberTypeNamespacePrefix,MemberTypeName,MemberQualifiedType
4.1,biom,ExemplarFingerPositionCodeSimpleType,biom:ExemplarFingerPositionCodeSimpleType,biom,HypothenarPositionCodeSimpleType,biom:HypothenarPositionCodeSimpleType
4.1,biom,ExemplarFingerPositionCodeSimpleType,biom:ExemplarFingerPositionCodeSimpleType,biom,MobileFingerPositionCodeSimpleType,biom:MobileFingerPositionCodeSimpleType
4.1,biom,ExemplarFingerPositionCodeSimpleType,biom:ExemplarFingerPositionCodeSimpleType,biom,SlapFingerPositionCodeSimpleType,biom:SlapFingerPositionCodeSimpleType
4.1,biom,ExemplarFingerPositionCodeSimpleType,biom:ExemplarFingerPositionCodeSimpleType,biom,SupplementalFingerPositionCodeSimpleType,biom:SupplementalFingerPositionCodeSimpleType
4.1,biom,ExemplarFingerPositionCodeSimpleType,biom:ExemplarFingerPositionCodeSimpleType,biom,UnknownPositionCodeSimpleType,biom:UnknownPositionCodeSimpleType
4.1,biom,ExemplarFingerPositionCodeSimpleType,biom:ExemplarFingerPositionCodeSimpleType,biom,FingerPositionCodeSimpleType,biom:FingerPositionCodeSimpleType
4.1,biom,FrictionRidgePositionCodeSimpleType,biom:FrictionRidgePositionCodeSimpleType,biom,FingerPositionCodeSimpleType,biom:FingerPositionCodeSimpleType
4.1,biom,FrictionRidgePositionCodeSimpleType,biom:FrictionRidgePositionCodeSimpleType,biom,PalmPositionCodeSimpleType,biom:PalmPositionCodeSimpleType
4.1,biom,FrictionRidgePositionCodeSimpleType,biom:FrictionRidgePositionCodeSimpleType,biom,PlantarPositionCodeSimpleType,biom:PlantarPositionCodeSimpleType
4.1,biom,FrictionRidgePositionCodeSimpleType,biom:FrictionRidgePositionCodeSimpleType,biom,UnknownPositionCodeSimpleType,biom:UnknownPositionCodeSimpleType
4.1,biom,LatentFrictionRidgePositionCodeSimpleType,biom:LatentFrictionRidgePositionCodeSimpleType,biom,UnknownPositionCodeSimpleType,biom:UnknownPositionCodeSimpleType
