originalRelease,originalPrefix,originalVersionNumber,changeCode,issue,draft,release,newPrefix,newVersionNumber,newURI
3.2,aamva_d20,3.2,modified,,,4.0,aamva_d20,4.0,http://release.niem.gov/niem/codes/aamva_d20/4.0/
3.2,apco,3.0,modified,,,4.0,apco,4.0,http://release.niem.gov/niem/codes/apco_event/4.0/
3.2,appinfo,3.0,modified,,,4.0,appinfo,4.0,http://release.niem.gov/niem/appinfo/4.0/
3.2,atf,3.0,modified,,,4.0,atf,4.0,http://release.niem.gov/niem/codes/atf/4.0/
3.2,biom,3.2,modified,,,4.0,biom,4.0,http://release.niem.gov/niem/domains/biometrics/4.0/
3.2,can,3.0,modified,,,4.0,can,4.0,http://release.niem.gov/niem/codes/canada_post/4.0/
3.2,cap,1.0,modified,,,4.0,cap,1.1,
3.2,cbrn,3.2,modified,,,4.0,cbrn,4.0,http://release.niem.gov/niem/domains/cbrn/4.0/
3.2,cbrncl,3.0,modified,,,4.0,cbrncl,4.0,http://release.niem.gov/niem/codes/cbrncl/4.0/
3.2,census,3.0,modified,,,4.0,census,4.0,http://release.niem.gov/niem/codes/census_uscounty/4.0/
3.2,commodity,3.0,modified,,,4.0,commodity,4.0,http://release.niem.gov/niem/codes/census_commodity/4.0/
3.2,dea,3.0,modified,,,4.0,dea,4.0,http://release.niem.gov/niem/codes/dea_ctlsub/4.0/
3.2,dod_jcs-pub2.0,3.0,modified,,,4.0,dod_jcs-pub2.0,4.0,http://release.niem.gov/niem/codes/dod_jcs-pub2.0/4.0/
3.2,dol,3.0,modified,,,4.0,dol,4.0,http://release.niem.gov/niem/codes/dol_soc/4.0/
3.2,edxl_rm,3.0,modified,,,4.0,edxl_rm,4.0,http://release.niem.gov/niem/codes/edxl_rm/4.0/
3.2,edxl-cap,3.0,modified,,,4.0,edxl-cap,4.0,http://release.niem.gov/niem/adapters/edxl-cap/4.0/
3.2,edxl-de,3.0,modified,,,4.0,edxl-de,4.0,http://release.niem.gov/niem/adapters/edxl-de/4.0/
3.2,edxl-have,3.0,modified,,,4.0,edxl-have,4.0,http://release.niem.gov/niem/adapters/edxl-have/4.0/
3.2,em,3.2,modified,,,4.0,em,4.0,http://release.niem.gov/niem/domains/emergencyManagement/4.0/
3.2,fips_5-2,3.0,modified,,,4.0,fips_5-2,4.0,http://release.niem.gov/niem/codes/fips_5-2/4.0/
3.2,geo,3.0,modified,,,4.0,geo,4.0,http://release.niem.gov/niem/adapters/geospatial/4.0/
3.2,gml,2.1,modified,,,4.0,gml,3.2.1,
3.2,have,2.1,modified,,,4.0,have,1.0,
3.2,have-codes,3.0,modified,,,4.0,have-codes,4.0,http://release.niem.gov/niem/codes/edxl_have/4.0/
3.2,hazmat,3.0,modified,,,4.0,hazmat,4.0,http://release.niem.gov/niem/codes/dot_hazmat/4.0/
3.2,hl7,3.0,modified,,,4.0,hl7,4.0,http://release.niem.gov/niem/codes/hl7/4.0/
3.2,hs,3.2,modified,,,4.0,hs,4.0,http://release.niem.gov/niem/domains/humanServices/4.0/
3.2,im,3.2,modified,,,4.0,im,4.0,http://release.niem.gov/niem/domains/immigration/4.0/
3.2,intel,3.2,modified,,,4.0,intel,4.0,http://release.niem.gov/niem/domains/intelligence/4.0/
3.2,ip,3.0,modified,,,4.0,ip,4.0,http://release.niem.gov/niem/domains/infrastructureProtection/4.0/
3.2,iso_3166,3.0,modified,,,4.0,iso_3166,4.0,http://release.niem.gov/niem/codes/iso_3166-1/4.0/
3.2,iso_4217,3.0,modified,,,4.0,iso_4217,4.0,http://release.niem.gov/niem/codes/iso_4217/4.0/
3.2,iso_639-3,3.0,modified,,,4.0,iso_639-3,4.0,http://release.niem.gov/niem/codes/iso_639-3/4.0/
3.2,it,3.2,modified,,,4.0,it,4.0,http://release.niem.gov/niem/domains/internationalTrade/4.0/
3.2,itcodes,3.0,modified,,,4.0,itcodes,4.0,http://release.niem.gov/niem/codes/it_codes/4.0/
3.2,j,5.2,modified,,,4.0,j,6.0,http://release.niem.gov/niem/domains/jxdm/6.0/
3.2,jc3iedm,3.1,modified,,,4.0,jc3iedm,4.0,http://release.niem.gov/niem/codes/jc3iedm/4.0/
3.2,jp3-52,3.1,modified,,,4.0,jp3-52,4.0,http://release.niem.gov/niem/codes/jp3-52/4.0/
3.2,m,3.2,modified,,,4.0,m,4.0,http://release.niem.gov/niem/domains/maritime/4.0/
3.2,mmucc,3.2,modified,,,4.0,mmucc,4.0,http://release.niem.gov/niem/codes/mmucc/4.0/
3.2,mo,3.2,modified,,,4.0,mo,4.0,http://release.niem.gov/niem/domains/militaryOperations/4.0/
3.2,nc,3.0,modified,,,4.0,nc,4.0,http://release.niem.gov/niem/niem-core/4.0/
3.2,ncic,3.2,modified,,,4.0,ncic,4.0,http://release.niem.gov/niem/codes/fbi_ncic/4.0/
3.2,ndex,3.1,modified,,,4.0,ndex,4.0,http://release.niem.gov/niem/codes/fbi_ndex/4.0/
3.2,nga,3.0,modified,,,4.0,nga,4.0,http://release.niem.gov/niem/codes/nga_datum/4.0/
3.2,niem-xs,3.0,modified,,,4.0,niem-xs,4.0,http://release.niem.gov/niem/proxy/xsd/4.0/
3.2,nlets,3.0,modified,,,4.0,nlets,4.0,http://release.niem.gov/niem/codes/nlets/4.0/
3.2,occs,3.0,modified,,,4.0,occs,4.0,http://release.niem.gov/niem/codes/occs_facility/4.0/
3.2,sar,3.0,modified,,,4.0,sar,4.0,http://release.niem.gov/niem/codes/pmise_sar/4.0/
3.2,scr,3.2,modified,,,4.0,scr,4.0,http://release.niem.gov/niem/domains/screening/4.0/
3.2,st,3.2,modified,,,4.0,st,4.0,http://release.niem.gov/niem/domains/surfaceTransportation/4.0/
3.2,structures,3.0,modified,,,4.0,structures,4.0,http://release.niem.gov/niem/structures/4.0/
3.2,ucr,3.2,modified,,,4.0,ucr,4.0,http://release.niem.gov/niem/codes/fbi_ucr/4.0/
3.2,unece,3.0,modified,,,4.0,unece,4.0,http://release.niem.gov/niem/codes/unece_rec20/4.0/
3.2,usps,3.0,modified,,,4.0,usps,4.0,http://release.niem.gov/niem/codes/usps_states/4.0/
3.2,xCard,3.0,modified,,,4.0,xCard,4.0,http://release.niem.gov/niem/codes/xCard/4.0/
3.2,xlink,2.1,modified,,,4.0,xlink,1.0.0,
3.2,xls,2.1,modified,,,4.0,xls,1.1.0,
3.2,xml,3.0,modified,,,4.0,xml,1.0,
3.2,,,new,,,4.0,ag,4.0,http://release.niem.gov/niem/domains/agriculture/4.0/
3.2,,,new,,,4.0,ag_codes,4.0,http://release.niem.gov/niem/codes/ag_codes/4.0/
3.2,,,new,,,4.0,cjis,4.0,http://release.niem.gov/niem/codes/fbi_cjis/4.0/
3.2,,,new,,,4.0,cli,4.0,http://reference.niem.gov/niem/specification/code-lists/4.0/code-lists-instance/
3.2,,,new,,,4.0,nibrs,4.0,http://release.niem.gov/niem/codes/fbi_nibrs/4.0/
3.2,,,new,,,4.0,usda_fsa,4.0,http://release.niem.gov/niem/codes/usda_fsa/4.0/
3.2,census-3.0.1,3.0.1,deleted,,,4.0,,,
3.2,core_misc,3.0,deleted,,,4.0,,,
3.2,cyfs,3.2,deleted,,,4.0,,,
3.2,dea-3.0.1,3.0.1,deleted,,,4.0,,,
3.2,dea-3.0.2,3.0.2,deleted,,,4.0,,,
3.2,dod_jcs-pub2.0-3.0.1,3.0.1,deleted,,,4.0,,,
3.2,fips_10-4,3.0,deleted,,,4.0,,,
3.2,fips_6-4,3.0,deleted,,,4.0,,,
3.2,genc,3.0,deleted,,,4.0,,,
3.2,genc-3.0.1,3.0.1,deleted,,,4.0,,,
3.2,hazmat-3.0.1,3.0.1,deleted,,,4.0,,,
3.2,nc-3.0.1,3.0.1,deleted,,,4.0,,,
3.2,nc-3.0.2,3.0.2,deleted,,,4.0,,,
3.2,nc-3.0.3,3.0.3,deleted,,,4.0,,,
3.2,usps-3.0.1,3.0.1,deleted,,,4.0,,,
3.2,de,1.0,no change,,,4.0,,,
3.2,xhtml,1.0,no change,,,4.0,,,
3.2,xs,1.0,no change,,,4.0,,,
