originalRelease,originalNamespace,originalTypeName,changeCode,issue,release,namespace,typeName,definition,parentType,baseType,contentStyle,simpleStyle,isAssociation,isAugmentation,isAdapter,isMetadata
5.1,,,add,,5.2,cyber,IncidentContainmentCategoryCodeType,A data type for the category code for the description of the containment of the incident.,,cyber:IncidentContainmentCategoryCodeSimpleType,CSC,atomic,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,cyber,IncidentOverallImpactSeverityCodeSimpleType,A data type for the level of severity of the impact of an incident against the business as a whole.,,xs:token,S,atomic,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,cyber,IncidentOverallImpactSeverityCodeType,A data type for the level of severity of the impact of an incident against the business as a whole.,,cyber:IncidentOverallImpactSeverityCodeSimpleType,CSC,atomic,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,cyber,IncidentResponseForensicsCategoryCodeSimpleType,A data type for the category describing the forensics response.,,xs:token,S,atomic,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,cyber,IncidentResponseForensicsCategoryCodeType,A data type for the category describing the forensics response.,,cyber:IncidentResponseForensicsCategoryCodeSimpleType,CSC,,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,cyber,IncidentResponseStatusType,A data type for the status of the incident response activity,,,CCC,,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,cyber,IncidentServicesImpactSeverityCodeSimpleType,A data type for the level of severity of the impact to internally-facing services by an incident.,,xs:token,S,atomic,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,cyber,IncidentServicesImpactSeverityCodeType,A data type for the level of severity of the impact to internally-facing services by an incident.,,cyber:IncidentServicesImpactSeverityCodeSimpleType,CSC,atomic,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,cyber,NotifyingAgencyCategoryCodeSimpleType,A data type for a category code for an agency who provided the original notification of a potential incident.,,xs:token,S,atomic,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,cyber,NotifyingAgencyCategoryCodeType,A data type for a category code for an agency who provided the original notification of a potential incident.,,cyber:NotifyingAgencyCategoryCodeSimpleType,CSC,atomic,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,cyber,SecurityIncidentActualityCodeSimpleType,"A data type for the indication of the actual status of the security incident, based on VERIS codes.",,xs:token,S,atomic,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,cyber,SecurityIncidentActualityCodeType,"A data type for the indication of the actual status of the security incident, based on VERIS codes.",,cyber:SecurityIncidentActualityCodeSimpleType,CSC,atomic,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,cyber,VulnerabilityExploitationAvailabilityCodeSimpleType,A data type for a category code of a vulnerability's ability to be exploited.,,xs:token,S,atomic,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,cyber,VulnerabilityExploitationAvailabilityCodeType,A data type for a category code of a vulnerability's ability to be exploited.,,cyber:VulnerabilityExploitationAvailabilityCodeSimpleType,CSC,,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,cyber,VulnerabilityExploitAvailabilityType,A data type for the possibility for a vulnerability to be exploited.,,,CCC,,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,cyber,VulnerabilityWidespreadCodeSimpleType,A data type for information about how many entities are impacted by a vulnerability.,,xs:token,S,atomic,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,cyber,VulnerabilityWidespreadCodeType,A data type for information about how many entities are impacted by a vulnerability.,,cyber:VulnerabilityWidespreadCodeSimpleType,CSC,atomic,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,iso_639-5,LanguageFamilyCodeSimpleType,A data type for the representation of names of living and extinct language families and groups.,,xs:token,S,atomic,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,iso_639-5,LanguageFamilyCodeType,A data type for the representation of names of living and extinct language families and groups.,,iso_639-5:LanguageFamilyCodeSimpleType,CSC,atomic,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,lrn-dev,CourseInteractionModeCodeSimpleType,"A data type for a primary type of interaction, synchronous or asynchronous, defined for the course.",,xs:token,S,atomic,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,lrn-dev,CourseInteractionModeCodeType,"A data type for a primary type of interaction, synchronous or asynchronous, defined for the course.",,lrn-dev:CourseInteractionModeCodeSimpleType,CSC,atomic,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,lrn-dev,CourseRepeatCodeSimpleType,A data type for an indication that an academic course has been repeated by a student and how that repeat is to be computed in the student's academic grade average.,,xs:token,S,atomic,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,lrn-dev,CourseRepeatCodeType,A data type for an indication that an academic course has been repeated by a student and how that repeat is to be computed in the student's academic grade average.,,lrn-dev:CourseRepeatCodeSimpleType,CSC,atomic,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,lrn-dev,CourseSectionType,"A data type for an individual course offering, distinguished from other course sections by date, time, location, instructor, delivery mode, etc.",,,CCC,,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,lrn-dev,CourseType,A data type for a collection of learning activities that are studied with the intention of achieving learning outcomes.  A course is often the unit of achievement for learning and training opportunities.,,,CCC,,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,lrn-dev,EmploymentPositionAugmentationType,A data type for additional information about an employment position.,,,CCC,,,TRUE,FALSE,FALSE
5.1,,,add,,5.2,lrn-dev,InstructionalProgramType,"A data type for a discipline and an organized sequence or grouping of courses leading to a defined objective such as a major, degree, certificate, license, the acquisition of selected knowledge or skills, or transfer to another institution of higher education.",,,CCC,,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,lrn-dev,IntelligenceTestType,"A data type for an intelligence test, now referred to as intelligence quotient (IQ) test, is the most widely-known and used measure for determining an individual’s intelligence. IQ scores are typically normally distributed, meaning that 95% of the population has IQ scores between 70 and 130.",j:TestType,,CCC,,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,lrn-dev,LanguageAugmentationType,A data type for additional information about a language.,,,CCC,,,TRUE,FALSE,FALSE
5.1,,,add,,5.2,lrn-dev,SexCodeSimpleType,A data type for student sex codes.,,xs:token,S,atomic,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,lrn-dev,SexCodeType,A data type for student sex codes.,,lrn-dev:SexCodeSimpleType,CSC,atomic,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,lrn-dev,StudentType,"A data type for a person formally engaged in learning, especially one enrolled in a school or college.",,,CCC,,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,mo,ClassificationReferenceDocumentType,"A data type for a reference used to determine the classification (e.g. Policy, Security Classification Guide (SGC), etc.).",,,CCC,,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,mo,DisclosureReleasabilityType,"A data type for information pertaining to countries, organizations, or communities approved to receive the resource.",,,CCC,,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,mo,HandlingRestrictionsCUIType,A data type for a controlled unclassified information (CUI) handling restriction.,,,CCC,,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,mo,HandlingRestrictionsType,"A data type for limitations not related to classification or releasibility, such as Controlled Unclassified Information designations.",,,CCC,,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,mo,LegalAuthorityType,"A data type for the documented legal basis for mission activities associated with the creation, retention and use of a resource.",,,CCC,,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,mo,MinimumEssentialMetadataType,"A data type for metadata about a data resource necessary to support the ‘must have’ functions for any data across DoD, joint, interagency, and coalition at the time of ‘creation’ that will be exchanged.",,,CCC,,,FALSE,FALSE,TRUE
5.1,,,add,,5.2,mo,ResourceFormatType,"A data type for information about the file format, physical medium, or dimensions of the resource.",,,CCC,,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,mo,ResourceIdentificationType,A data type for identification of a resource.,,,CCC,,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,mo,SecurityClassificationCodeSimpleType,A data type for an information security classification level.,,xs:token,S,atomic,,FALSE,FALSE,FALSE
